title	scholar_bibliographic_line	seen_on
On Parity Check (0, 1)-Matrix over Z^ sub p^	NH Bshouty, H Mazzawi - … of the ACM-SIAM Symposium on …, 2011 - search.proquest.com	Aigner 1986 p5
Optimal Adaptive Search	A Negro, P Ritrovato - … , Villa Rufolo, Ravello, Italy, November 9 …, 1996 - books.google.com	Aigner 1986 p5
[CITATION][C] Department of Applied Mathematics, National Chiao-Tung University, Hsin-Chu, Taiwan, Republic of China Received 23 July 2003; received in revised …	FK Hwang - Discrete Applied Mathematics, 2005	Aigner 1986 p5
[PDF][PDF] A BINARY SEARCH PR () ELEM (ON GRAPHS	R Tošić, D Mašulović - emis.dsd.sztaki.hu	Aigner 1986 p5
Edge search in hypergraphs	I Althöfer, M Löwe - Discrete Mathematics, 1996 - Elsevier	Aigner 1986 p5
Optimal Reconstruction of Graphs Under the	A Model - Algorithms-ESA'97: 5th Annual European Symposium …, 1997 - books.google.com	Aigner 1986 p5; Gargano 1992 p3
[HTML][HTML] Optimal quantitative group testing on cycles and paths	FK Hwang, JS Lee - Discrete applied mathematics, 2001 - Elsevier	Aigner 1986 p5
[CITATION][C] Adaptive search for 2 defective coins	I Vorobyev	Aigner 1986 p6
[CITATION][C] Quantitative Group Testing for Heavy Hitter Detection	C Wang, Q Zhao, CN Chuah - arXiv preprint arXiv:1407.2283, 2014	Aigner 1986 p6; Gargano 1992 p3
[CITATION][C] A BINARY SEARCH PROBLEM ON GRAPHS	R ko Tosic, D Masulovic	Aigner 1986 p6
[CITATION][C] Ratko Tošić, ¹ Dragan Mašulović	S Mat - Review of Research: Mathematical series, 1994 - Fakultet	Aigner 1986 p6
Landauer principle and thermodynamics of computation	P Chattopadhyay, A Misra, T Pandit… - Reports on Progress in …, 2025 - iopscience.iop.org	Aigner 1988 p1
[BOOK][B] The algorithm design manual	SS Skiena, SS Skiena - 1998 - Springer	Aigner 1988 p1
Code and parse trees for lossless source encoding	J Abrahams - … and Complexity of SEQUENCES 1997 (Cat. No …, 1997 - ieeexplore.ieee.org	Aigner 1988 p1
Zero-error information theory	J Korner, A Orlitsky - IEEE Transactions on Information Theory, 1998 - ieeexplore.ieee.org	Aigner 1988 p1
Am empirical analysis of optimization techniques for terminological representation systems: Or: Making KRIS get a move on	F Baader, B Hollunder, B Nebel, HJ Profitlich… - Applied …, 1994 - Springer	Aigner 1988 p1
Learning pattern classification-a survey	SR Kulkarni, G Lugosi… - IEEE Transactions on …, 1998 - ieeexplore.ieee.org	Aigner 1988 p1
Graph-constrained group testing	M Cheraghchi, A Karbasi, S Mohajer… - IEEE Transactions on …, 2012 - ieeexplore.ieee.org	Aigner 1988 p1
Optimal two-stage algorithms for group testing problems	A De Bonis, L Gasieniec, U Vaccaro - SIAM Journal on Computing, 2005 - SIAM	Aigner 1988 p1
Learning spanning forests optimally in weighted undirected graphs with cut queries	H Liao, D Chakrabarty - International Conference on …, 2024 - proceedings.mlr.press	Aigner 1988 p1
[BOOK][B] Fault-tolerant search algorithms: reliable computation with unreliable information	F Cicalese - 2013 - Springer	Aigner 1988 p2
[BOOK][B] A course in topological combinatorics	M De Longueville - 2013 - books.google.com	Aigner 1988 p2
Reconstructing a Hamiltonian cycle by querying the graph: Application to DNA physical mapping	V Grebinski, G Kucherov - Discrete Applied Mathematics, 1998 - Elsevier	Aigner 1988 p2
Embedding arbitrary graphs of maximum degree two	M Aigner, S Brandt - Journal of the London Mathematical …, 1993 - academic.oup.com	Aigner 1988 p2
Supermodularity and subadditivity properties of the entropy on the majorization lattice	F Cicalese, U Vaccaro - IEEE Transactions on Information …, 2002 - ieeexplore.ieee.org	Aigner 1988 p2
Combinatorial search on graphs motivated by bioinformatics applications: A brief survey	M Bouvel, V Grebinski, G Kucherov - International Workshop on Graph …, 2005 - Springer	Aigner 1988 p2
Optimal query complexity bounds for finding graphs	SS Choi, JH Kim - Proceedings of the fortieth annual ACM symposium on …, 2008 - dl.acm.org	Aigner 1988 p2
[PDF][PDF] Problems on algorithms	I Parberry - ACM Sigact News, 1995 - dl.acm.org	Aigner 1988 p3
Single quantum querying of a database	BM Terhal, JA Smolin - Physical Review A, 1998 - APS	Aigner 1988 p3
Clustering with non-adaptive subset queries	H Black, E Lee, A Mazumdar… - Advances in Neural …, 2024 - proceedings.neurips.cc	Aigner 1988 p3
[HTML][HTML] Reconstruction and verification of chordal graphs with a distance oracle	G Rong, W Li, Y Yang, J Wang - Theoretical Computer Science, 2021 - Elsevier	Aigner 1988 p3
Coin-weighing problems	RK Guy, RJ Nowakowski - The American mathematical monthly, 1995 - Taylor & Francis	Aigner 1988 p3
Bounds and algorithms for alphabetic codes and binary search trees	R Bruno, R De Prisco, A De Santis… - IEEE Transactions on …, 2024 - ieeexplore.ieee.org	Aigner 1988 p3
Learning partitions using rank queries	D Chakrabarty, H Liao - arXiv preprint arXiv:2409.13092, 2024 - arxiv.org	Aigner 1988 p3
[HTML][HTML] Nonadaptive algorithms for threshold group testing	HB Chen, HL Fu - Discrete Applied Mathematics, 2009 - Elsevier	Aigner 1988 p3
[BOOK][B] Communication theory	CM Goldie, RGE Pinch - 1991 - books.google.com	Aigner 1988 p3
