title	scholar_bibliographic_line	seen_on
On the complexity of partial order properties	S Felsner, R Kant, CP Rangan, D Wagner - Order, 2000 - Springer	Aigner 1988 p15
Linear extension majority cycles on partial orders	WV Gehrlein, PC Fishburn - Annals of Operations Research, 1990 - Springer	Aigner 1988 p15
Geometric applications of posets	M Segal, K Kedem - Computational Geometry, 1998 - Elsevier	Aigner 1988 p16; Aigner 1988 p17
The rivest–vuillemin conjecture on monotone boolean functions is true for ten variables	SX Gao, W Wu, DZ Du, XD Hu - journal of complexity, 1999 - Elsevier	Aigner 1988 p16
[BOOK][B] Dynamic length-restricted coding	T Gagie - 2003 - utoronto.scholaris.ca	Aigner 1988 p16
Binary trees with choosable edge lengths	J Maßberg, D Rautenbach - Information processing letters, 2009 - Elsevier	Aigner 1988 p16
Upper and lower bounds for competitive group testing	R Scheidweiler, E Triesch - Discrete Applied Mathematics, 2023 - Elsevier	Aigner 1988 p16
[PDF][PDF] Covering point sets and accompanying problems	M Segal - 1999 - researchgate.net	Aigner 1988 p16
[PDF][PDF] Computer-based mathematical modeling	T Hürlimann - Habilitation Script, accepted by the Faculty of Economic …, 1997 - matmod.ch	Aigner 1988 p16
[HTML][HTML] A revised algorithm for searching for all defective edges in a graph	T Chen - Discrete applied mathematics, 2011 - Elsevier	Aigner 1988 p16
k +  Decision Trees:	J Aspnes, E Blais, M Demirbas, R O'Donnell… - … on Algorithms and …, 2010 - Springer	Aigner 1988 p16
[PDF][PDF] Frequency estimates for linear extension majority cycles on partial orders	WV Gehrlein - RAIRO-Operations Research-Recherche …, 1991 - numdam.org	Aigner 1988 p16
A note on the Hu–Hwang–Wang conjecture for group testing	MG Leu - The ANZIAM Journal, 2008 - cambridge.org	Aigner 1988 p17
[PDF][PDF] Searching for an unknown edge in the graph and its tight complexity bounds	A Cheraghi - Indian Journal of Science and Technology, 2016 - academia.edu	Aigner 1988 p17
Improving reconstruction of man-made objects from sensor images by machine learning	R Englert, AB Cremers - … Photogrammetric Techniques with …, 1997 - spiedigitallibrary.org	Aigner 1988 p17
Quantum state detection via elimination	JM Ettinger, P Hoyer - arXiv preprint quant-ph/9905099, 1999 - arxiv.org	Aigner 1988 p17
On a combinatorial search problem.	EV Debrev - Discrete Mathematics & Applications, 2002 - search.ebscohost.com	Aigner 1988 p17
Facility location and clock tree synthesis	JU Maßberg - 2010 - bonndoc.ulb.uni-bonn.de	Aigner 1988 p17
On a search problem in graph theory	E Triesch - Optimization: Proceedings of the Fifth French-German …, 2006 - Springer	Aigner 1988 p17
Cycle-free cuts of mutual rank probability relations	K De Loof, B De Baets, H De Meyer - Kybernetika, 2014 - dml.cz	Aigner 1988 p17
Learning a hidden uniform hypergraph	H Chang, HL Fu, CH Shih - Optimization Letters, 2018 - Springer	Aigner 1988 p17
Variations on a Theme of Ulam and Rényi: More Types of Questions and Lies	F Cicalese - … Tolerant Search Algorithms: Reliable Computation with …, 2013 - Springer	Aigner 1988 p18
[HTML][HTML] Searching for an edge in a graph with restricted test sets	T Gerzen - Discrete mathematics, 2009 - Elsevier	Aigner 1988 p18
[PDF][PDF] Advanced mathematics from an elementary standpoint	JC Mosquera - The Mathematics Educator, 1992 - ojs01.galib.uga.edu	Aigner 1988 p18
More efficient algorithms for searching for several edges in a hypergraph	T Chen - Indian Journal of Pure and Applied Mathematics, 2026 - Springer	Aigner 1988 p18
[HTML][HTML] Learning boolean halfspaces with small weights from membership queries	H Abasi, AZ Abdi, NH Bshouty - Theoretical Computer Science, 2016 - Elsevier	Aigner 1988 p18
Orders and graphs	U Faigle, R Schrader - Computational Graph Theory, 1990 - Springer	Aigner 1988 p18
[HTML][HTML] Minimum number of queries for an adaptive liar search game with small sets	K Meng, C Lin, Y Yang - Discrete Optimization, 2013 - Elsevier	Aigner 1988 p18
Learning Spanning Forests Optimally using CUT Queries in Weighted Undirected Graphs	H Liao, D Chakrabarty - arXiv preprint arXiv:2306.10182, 2023 - arxiv.org	Aigner 1988 p18
Improved adaptive group testing algorithms with applications to multiple access channels and dead sensor diagnosis	MT Goodrich, DS Hirschberg - Journal of Combinatorial Optimization, 2008 - Springer	Gargano 1992 p1
Signature codes for noisy multiple access adder channel	V Gritsenko, G Kabatiansky, V Lebedev… - Designs, Codes and …, 2017 - Springer	Gargano 1992 p1
Combinatorial group testing in presence of deletions	V Gandikota, N Polyanskii, H Yang - arXiv preprint arXiv:2310.09613, 2023 - arxiv.org	Gargano 1992 p1
On codes for multiple access adder channel with noise and feedback	V Gritsenko, G Kabatiansky, V Lebedev… - … Workshop on Coding …, 2015 - inria.hal.science	Gargano 1992 p2
Optimal search procedure on coin-weighing problem	WA Liu, QM Zhang, ZK Nie - Journal of statistical planning and inference, 2006 - Elsevier	Gargano 1992 p2
[CITATION][C] An overview of the Italian National Project on\\Algorithms, Computation Models, and Information Structures	G Ausiello, F d'Amore - Citeseer	Gargano 1992 p3
[HTML][HTML] optimal Detection of a Counterfeit Coin with Multi-arms Balances	L Gargano - Discrete Applied Mathematics, 1995 - academia.edu	Gargano 1992 p3
[CITATION][C] “糖果厂” 模型的最优化搜索方法	李炜， 毛经中 - 运筹与管理, 1999	Gargano 1992 p3
[CITATION][C] Combinatorial Search Problems in Computational Biology	A De Bonis - 1999	Gargano 1992 p3
[CITATION][C] Combinatorial Techniques in Search Theory and Data Security	A De Bonis - 2000	Gargano 1992 p3
