K,M,N,,M\K,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,,,,,,,,,,,M\K,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,,,,,,
1.0,1.0,2.0,,1.0,2,4,8,16,32,64,128,256,,1,1,1,1,1,1,1,1,,1.0,0,0,0,0,0,0,0,0,,,,,,
2.0,1.0,4.0,,2.0,1,3,7,15,31,63,127,255,,1,1,2,3,4,5,6,7,,2.0,1,1,1,1,1,1,1,1,,,,,,
2.0,2.0,3.0,,3.0,,2,5,12,27,58,121,248,,0,1,1,2,3,4,5,6,,3.0,2,2,3,4,5,6,7,8,,,,,,
3.0,1.0,8.0,,4.0,,1,4,10,24,54,116,242,,0,1,1,1,2,4,7,11,,4.0,2,3,4,6,8,10,12,14,,,,,,
3.0,2.0,7.0,,5.0,,,3,9,22,50,109,231,,0,0,1,2,3,4,5,6,,5.0,2,4,5,7,10,14,19,25,,0,0.0,0.0,0.0,0.0
3.0,3.0,5.0,,6.0,,,2,7,19,46,104,225,,0,0,0,1,2,4,7,11,,6.0,2,4,6,9,13,18,24,31,,0,0.0,0.0,0.0,0.0
3.0,4.0,4.0,,7.0,,,2,6,17,42,97,214,,0,0,1,1,2,4,6,8,,7.0,2,4,6,10,15,22,31,42,,0,0.0,0.0,0.0,0.0
4.0,1.0,16.0,,8.0,,,1,5,15,38,91,206,,0,0,1,0,1,2,4,8,,8.0,2,4,7,11,17,26,37,50,,1,0.0,0.0,0.0,0.0
4.0,2.0,15.0,,9.0,,,,5,14,36,87,198,,0,0,0,1,2,3,5,198,,9.0,2,4,8,11,18,28,41,58,,0.5,0.0,0.0,0.0,0.0
4.0,3.0,12.0,,10.0,,,,4,12,33,82,,,0,0,0,1,1,2,5,0,,10.0,2,4,8,12,20,31,46,,,,0,0,0,
4.0,4.0,10.0,,11.0,,,,3,11,31,77,,,0,0,0,0,1,2,4,0,,11.0,2,4,8,13,21,33,51,,,,0,0,,
4.0,5.0,9.0,,12.0,,,,3,10,29,73,,,0,0,0,1,1,2,4,0,,12.0,2,4,8,13,22,35,55,,,,0,,,
4.0,6.0,7.0,,13.0,,,,2,9,27,69,,,0,0,0,0,0,2,3,0,,13.0,2,4,8,14,23,37,59,,,,,,,
5.0,1.0,32.0,,14.0,,,,2,9,25,66,,,0,0,0,0,1,1,3,0,,14.0,2,4,8,14,23,39,62,,,,,,,
5.0,2.0,31.0,,15.0,,,,2,8,24,63,,,0,0,0,1,1,2,3,0,,15.0,2,4,8,14,24,40,65,,,,,,,
5.0,3.0,27.0,,16.0,,,,1,7,22,60,,,0,0,0,1,0,1,2,0,,16.0,2,4,8,15,25,42,68,,,,,,,
5.0,4.0,24.0,,17.0,,,,,7,21,58,,,0,0,0,0,1,1,3,0,,17.0,2,4,8,16,25,43,70,,,,,,,
5.0,5.0,22.0,,18.0,,,,,6,20,55,,,0,0,0,0,0,1,2,0,,18.0,2,4,8,16,26,44,73,,,,,,,
5.0,6.0,19.0,,19.0,,,,,6,19,53,,,0,0,0,0,1,1,2,0,,19.0,2,4,8,16,26,45,75,,,,0.1666666667,,,
5.0,7.0,17.0,,20.0,,,,,5,18,51,,,0,0,0,0,0,1,2,0,,20.0,2,4,8,16,27,46,77,,,,-240,,,
5.0,8.0,15.0,,21.0,,,,,5,17,49,,,0,0,0,0,0,1,2,0,,21.0,2,4,8,16,27,47,79,,,,,,,
5.0,9.0,14.0,,22.0,,,,,5,16,47,,,0,0,0,0,1,1,2,0,,,,,,,,,,,,,,,,
5.0,10.0,12.0,,23.0,,,,,4,15,45,,,0,0,0,0,0,0,2,0,,,,,,,,,,,,,0.03125,32,,
5.0,11.0,11.0,,24.0,,,,,4,15,43,,,0,0,0,0,1,1,2,0,,,,,,,,,,,,,,,,
6.0,1.0,64.0,,25.0,,,,,3,14,41,,,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,
