+1,22.0,6.0,5.0,6,,,,,,,,,,,,,,,132,3.666666667,0.2272727273,4.742336674,4.815670008
+1,21.0,6.0,5.0,6,,,,,,,,,,,,,,,126,3.5,0.2380952381,4.697154916,4.767154916
+1,20.0,6.0,5.0,6,,,,,,,,,,,,,,,120,3.333333333,0.25,4.649768315,4.716434982
+0,19.0,6.0,5.0,5,,,,,6,,,,,,,13,,,114,3.166666667,0.2631578947,4.599950593,4.663283926
+1,19.0,7.0,5.0,6,,,,,,,,,,,,,,,133,2.714285714,0.3157894737,4.749666767,4.803952481
+1,18.0,7.0,5.0,6,,,,,,,,,,,,,,,126,2.571428571,0.3333333333,4.697154916,4.748583487
+0,17.0,7.0,5.0,5,,,,,7,,,,,,,15,,,119,2.428571429,0.3529411765,4.641640798,4.690212226
+1,17.0,8.0,5.0,6,,,,,,,,,,,,,,,136,2.125,0.4117647059,4.771330847,4.813830847
+1,16.0,8.0,5.0,6,,,,,,,,,,,,,,,128,2,0.4375,4.712450234,4.752450234
+0,15.0,8.0,5.0,5,,,,,8,,,,,,,17,,,120,1.875,0.4666666667,4.649768315,4.687268315
+1,15.0,9.0,5.0,6,,,,,,,,,,,,,,,135,1.666666667,0.5333333333,4.764163046,4.797496379
+0,14.0,9.0,5.0,5,,,,,9,,,,,,,18,,,126,1.555555556,0.5714285714,4.697154916,4.728266027
+1,14.0,10.0,5.0,6,,,,,,,,,,,,,,,140,1.4,0.6428571429,4.799484489,4.827484489
+1,13.0,10.0,5.0,6,,,,,,,,,,,,,,,130,1.3,0.6923076923,4.727508407,4.753508407
+0,12.0,10.0,5.0,5,,,,,10,,,,,,,20,,,120,1.2,0.75,4.649768315,4.673768315
+1,12.0,11.0,5.0,6,,,,,,,,,,,,,,,132,1.090909091,0.8333333333,4.742336674,4.764154856
+0,11.0,11.0,5.0,5,,,,,11,,,,,,,21,,,121,1,0.9090909091,4.657828384,4.677828384
+1,65.0,1.0,6.0,7,,,,,,,,,,,,,,,65,65,0,4.05430123,5.35430123
+0,64.0,1.0,6.0,6,,,,,,1,,,,,,,0,,64,64,0,4.039243058,5.319243058
