,,,,
+0,21.0,17.0,6.0,=D129+A129
+1,21.0,18.0,6.0,=D130+A130
+0,20.0,18.0,6.0,=D131+A131
+1,20.0,19.0,6.0,=D132+A132
+0,19.0,19.0,6.0,=D133+A133
+1,129.0,1.0,7.0,=D134+A134
+0,128.0,1.0,7.0,=D135+A135
+1,128.0,2.0,7.0,=D136+A136
+0,127.0,2.0,7.0,=D137+A137
+1,127.0,3.0,7.0,=D138+A138
+1,126.0,3.0,7.0,=D139+A139
+1,125.0,3.0,7.0,=D140+A140
+1,124.0,3.0,7.0,=D141+A141
+1,123.0,3.0,7.0,=D142+A142
+1,122.0,3.0,7.0,=D143+A143
+0,121.0,3.0,7.0,=D144+A144
+1,121.0,4.0,7.0,=D145+A145
+1,120.0,4.0,7.0,=D146+A146
+1,119.0,4.0,7.0,=D147+A147
+1,118.0,4.0,7.0,=D148+A148
+1,117.0,4.0,7.0,=D149+A149
+0,116.0,4.0,7.0,=D150+A150
+1,116.0,5.0,7.0,=D151+A151
+1,115.0,5.0,7.0,=D152+A152
+1,114.0,5.0,7.0,=D153+A153
+1,113.0,5.0,7.0,=D154+A154
+1,112.0,5.0,7.0,=D155+A155
+1,111.0,5.0,7.0,=D156+A156
+1,110.0,5.0,7.0,=D157+A157
+0,109.0,5.0,7.0,=D158+A158
+1,109.0,6.0,7.0,=D159+A159
+1,108.0,6.0,7.0,=D160+A160
+1,107.0,6.0,7.0,=D161+A161
+1,106.0,6.0,7.0,=D162+A162
+1,105.0,6.0,7.0,=D163+A163
+0,104.0,6.0,7.0,=D164+A164
+1,104.0,7.0,7.0,=D165+A165
+1,103.0,7.0,7.0,=D166+A166
+1,102.0,7.0,7.0,=D167+A167
+1,101.0,7.0,7.0,=D168+A168
+1,100.0,7.0,7.0,=D169+A169
+1,99.0,7.0,7.0,=D170+A170
+1,98.0,7.0,7.0,=D171+A171
+0,97.0,7.0,7.0,=D172+A172
+1,97.0,8.0,7.0,=D173+A173
+1,96.0,8.0,7.0,=D174+A174
+1,95.0,8.0,7.0,=D175+A175
+1,94.0,8.0,7.0,=D176+A176
+1,93.0,8.0,7.0,=D177+A177
+1,92.0,8.0,7.0,=D178+A178
+0,91.0,8.0,7.0,=D179+A179
+1,91.0,9.0,7.0,=D180+A180
