,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M\K,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
1.0,2.0,4.0,8.0,16.0,32.0,64.0,128.0,256.0,,,,,=$A4*B4,=$A4*C4,=$A4*D4,=$A4*E4,=$A4*F4,=$A4*G4,=$A4*H4,=$A4*I4,,,=B4/$A4,=C4/$A4,=D4/$A4,=E4/$A4,=F4/$A4,=G4/$A4,=H4/$A4,=I4/$A4
2.0,,3.0,7.0,15.0,31.0,63.0,127.0,255.0,,,,,=$A5*B5,=$A5*C5,=$A5*D5,=$A5*E5,=$A5*F5,=$A5*G5,=$A5*H5,=$A5*I5,,,=B5/$A5,=C5/$A5,=D5/$A5,=E5/$A5,=F5/$A5,=G5/$A5,=H5/$A5,=I5/$A5
3.0,,,5.0,12.0,27.0,58.0,121.0,248.0,,,,,=$A6*B6,=$A6*C6,=$A6*D6,=$A6*E6,=$A6*F6,=$A6*G6,=$A6*H6,=$A6*I6,,,=B6/$A6,=C6/$A6,=D6/$A6,=E6/$A6,=F6/$A6,=G6/$A6,=H6/$A6,=I6/$A6
4.0,,,4.0,10.0,24.0,54.0,116.0,242.0,,,,,=$A7*B7,=$A7*C7,=$A7*D7,=$A7*E7,=$A7*F7,=$A7*G7,=$A7*H7,=$A7*I7,,,=B7/$A7,=C7/$A7,=D7/$A7,=E7/$A7,=F7/$A7,=G7/$A7,=H7/$A7,=I7/$A7
5.0,,,,9.0,22.0,50.0,109.0,231.0,480.0,,,,=$A8*B8,=$A8*C8,=$A8*D8,=$A8*E8,=$A8*F8,=$A8*G8,=$A8*H8,=$A8*I8,,,=B8/$A8,=C8/$A8,=D8/$A8,=E8/$A8,=F8/$A8,=G8/$A8,=H8/$A8,=I8/$A8
6.0,,,,7.0,19.0,46.0,104.0,225.0,473.0,,,,=$A9*B9,=$A9*C9,=$A9*D9,=$A9*E9,=$A9*F9,=$A9*G9,=$A9*H9,=$A9*I9,,,=B9/$A9,=C9/$A9,=D9/$A9,=E9/$A9,=F9/$A9,=G9/$A9,=H9/$A9,=I9/$A9
7.0,,,,,17.0,42.0,97.0,214.0,,,,,=$A10*B10,=$A10*C10,=$A10*D10,=$A10*E10,=$A10*F10,=$A10*G10,=$A10*H10,=$A10*I10,,,=B10/$A10,=C10/$A10,=D10/$A10,=E10/$A10,=F10/$A10,=G10/$A10,=H10/$A10,=I10/$A10
8.0,,,,,15.0,38.0,91.0,206.0,,,,,=$A11*B11,=$A11*C11,=$A11*D11,=$A11*E11,=$A11*F11,=$A11*G11,=$A11*H11,=$A11*I11,,,=B11/$A11,=C11/$A11,=D11/$A11,=E11/$A11,=F11/$A11,=G11/$A11,=H11/$A11,=I11/$A11
9.0,,,,,14.0,36.0,87.0,198.0,,,,,=$A12*B12,=$A12*C12,=$A12*D12,=$A12*E12,=$A12*F12,=$A12*G12,=$A12*H12,=$A12*I12,,,=B12/$A12,=C12/$A12,=D12/$A12,=E12/$A12,=F12/$A12,=G12/$A12,=H12/$A12,=I12/$A12
