,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M\K,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
1.0,2.0,4.0,8.0,16.0,32.0,64.0,128.0,256.0,,,,,2,4,8,16,32,64,128,256,,,2,4,8,16,32,64,128,256
2.0,,3.0,7.0,15.0,31.0,63.0,127.0,255.0,,,,,0,6,14,30,62,126,254,510,,,0,1.5,3.5,7.5,15.5,31.5,63.5,127.5
3.0,,,5.0,12.0,27.0,58.0,121.0,248.0,,,,,0,0,15,36,81,174,363,744,,,0,0,1.666666667,4,9,19.33333333,40.33333333,82.66666667
4.0,,,4.0,10.0,24.0,54.0,116.0,242.0,,,,,0,0,16,40,96,216,464,968,,,0,0,1,2.5,6,13.5,29,60.5
5.0,,,,9.0,22.0,50.0,109.0,231.0,480.0,,,,0,0,0,45,110,250,545,1155,,,0,0,0,1.8,4.4,10,21.8,46.2
6.0,,,,7.0,19.0,46.0,104.0,225.0,473.0,,,,0,0,0,42,114,276,624,1350,,,0,0,0,1.166666667,3.166666667,7.666666667,17.33333333,37.5
7.0,,,,,17.0,42.0,97.0,214.0,,,,,0,0,0,0,119,294,679,1498,,,0,0,0,0,2.428571429,6,13.85714286,30.57142857
8.0,,,,,15.0,38.0,91.0,206.0,,,,,0,0,0,0,120,304,728,1648,,,0,0,0,0,1.875,4.75,11.375,25.75
9.0,,,,,14.0,36.0,87.0,198.0,,,,,0,0,0,0,126,324,783,1782,,,0,0,0,0,1.555555556,4,9.666666667,22
10.0,,,,,12.0,33.0,82.0,189.0,,,,,0,0,0,0,120,330,820,1890,,,0,0,0,0,1.2,3.3,8.2,18.9
11.0,,,,,11.0,31.0,77.0,182.0,409?,,,,0,0,0,0,121,341,847,2002,,,0,0,0,0,1,2.818181818,7,16.54545455
12.0,,,,,,29.0,73.0,174.0,,,,,0,0,0,0,0,348,876,2088,,,0,0,0,0,0,2.416666667,6.083333333,14.5
13.0,,,,,,27.0,69.0,168.0,,,,,0,0,0,0,0,351,897,2184,,,0,0,0,0,0,2.076923077,5.307692308,12.92307692
14.0,,,,,,25.0,66.0,161.0,,,,,0,0,0,0,0,350,924,2254,,,0,0,0,0,0,1.785714286,4.714285714,11.5
15.0,,,,,,24.0,63.0,155.0,,,,,0,0,0,0,0,360,945,2325,,,0,0,0,0,0,1.6,4.2,10.33333333
16.0,,,,,,22.0,60.0,150.0,,,,,0,0,0,0,0,352,960,2400,,,0,0,0,0,0,1.375,3.75,9.375
17.0,,,,,,21.0,58.0,144.0,,,,,0,0,0,0,0,357,986,2448,,,0,0,0,0,0,1.235294118,3.411764706,8.470588235
18.0,,,,,,20.0,55.0,139.0,,,,,0,0,0,0,0,360,990,2502,,,0,0,0,0,0,1.111111111,3.055555556,7.722222222
19.0,,,,,,19.0,53.0,135.0,,,,,0,0,0,0,0,361,1007,2565,,,0,0,0,0,0,1,2.789473684,7.105263158
20.0,,,,,,,51.0,130.0,,,,,0,0,0,0,0,0,1020,2600,,,0,0,0,0,0,0,2.55,6.5
21.0,,,,,,,49.0,126.0,,,,,0,0,0,0,0,0,1029,2646,,,0,0,0,0,0,0,2.333333333,6
22.0,,,,,,,47.0,122.0,,,,,0,0,0,0,0,0,1034,2684,,,0,0,0,0,0,0,2.136363636,5.545454545
23.0,,,,,,,45.0,118.0,,,,,0,0,0,0,0,0,1035,2714,,,0,0,0,0,0,0,1.956521739,5.130434783
24.0,,,,,,,43.0,115.0,,,,,0,0,0,0,0,0,1032,2760,,,0,0,0,0,0,0,1.791666667,4.791666667
25.0,,,,,,,41.0,111.0,,,,,0,0,0,0,0,0,1025,2775,,,0,0,0,0,0,0,1.64,4.44
26.0,,,,,,,40.0,108.0,,,,,0,0,0,0,0,0,1040,2808,,,0,0,0,0,0,0,1.538461538,4.153846154
27.0,,,,,,,38.0,105.0,,,,,0,0,0,0,0,0,1026,2835,,,0,0,0,0,0,0,1.407407407,3.888888889
28.0,,,,,,,37.0,102.0,,,,,0,0,0,0,0,0,1036,2856,,,0,0,0,0,0,0,1.321428571,3.642857143
29.0,,,,,,,36.0,100.0,,,,,0,0,0,0,0,0,1044,2900,,,0,0,0,0,0,0,1.24137931,3.448275862
30.0,,,,,,,35.0,97.0,,,,,0,0,0,0,0,0,1050,2910,,,0,0,0,0,0,0,1.166666667,3.233333333
31.0,,,,,,,34.0,94.0,,,,,0,0,0,0,0,0,1054,2914,,,0,0,0,0,0,0,1.096774194,3.032258065
32.0,,,,,,,33.0,92.0,,,,,0,0,0,0,0,0,1056,2944,,,0,0,0,0,0,0,1.03125,2.875
33.0,,,,,,,,89.0,,,,,0,0,0,0,0,0,0,2937,,,0,0,0,0,0,0,0,2.696969697
34.0,,,,,,,,87.0,,,,,0,0,0,0,0,0,0,2958,,,0,0,0,0,0,0,0,2.558823529
35.0,,,,,,,,85.0,,,,,0,0,0,0,0,0,0,2975,,,0,0,0,0,0,0,0,2.428571429
36.0,,,,,,,,83.0,,,,,0,0,0,0,0,0,0,2988,,,0,0,0,0,0,0,0,2.305555556
37.0,,,,,,,,81.0,,,,,0,0,0,0,0,0,0,2997,,,0,0,0,0,0,0,0,2.189189189
38.0,,,,,,,,79.0,,,,,0,0,0,0,0,0,0,3002,,,0,0,0,0,0,0,0,2.078947368
