r\c,000,001,010,011,100,101,110,111
000,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0
001,16:1,16:1,11:1,16:1,0:0,0:0,0:0,0:0
010,16:1,16:1,16:1,11:1,15:1,11:1,16:1,15:1
011,0:0,0:0,0:0,0:0,15:1,11:1,16:1,15:1
100,0:0,0:0,0:0,0:0,16:1,15:1,15:1,11:1
101,16:1,16:1,11:1,16:1,16:1,15:1,15:1,11:1
110,16:1,16:1,0:0,0:0,0:0,0:0,0:0,0:0
111,0:0,0:0,11:1,16:1,0:0,0:0,0:0,0:0
