,,k,k-1,,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0
1.0,A,2^k,2^(k-1),A,1,2,4,8,16,32,64,128,256,512,1024,2048,4096
1.0,B,2^k-1,2^(k-1)-1,B,0,1,3,7,15,31,63,127,255,511,1023,2047,4095
2.0,C,2^k-1-k,2^(k-1)-k,C,0,0,1,4,11,26,57,120,247,502,1013,2036,4083
4.0,D,2^k-1-k(k+1)/2,2^(k-1) - k(k^2-3k+8)/6,D,0,0,0,1,5,16,42,99,219,466,968,1981,4017
8.0,E,2^k-1-k(k^2+5)/6,,E,0,0,0,0,1,6,22,64,163,382,848,1816,3797
16.0,F,2^k-1-k(k^3-2k^2+11k+14)/24,,F,0,0,0,0,0,1,7,29,93,256,638,1486,3302
,,,,G,0.0,0,0,0,0,0,1,8,37,130,386,1024,2510
,,,,H,0.0,0,0,0,0,0,0,1,9,46,176,562,1586
,,,,,0.0,0,0,0,0,0,0,0,1,10,56,232,794
,,,,,0.0,0,0,0,0,0,0,0,0,1,11,67,299
,,,,,0.0,0,0,0,0,0,0,0,0,0,1,12,79
,,,,,0.0,0,0,0,0,0,0,0,0,0,0,1,13
,,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,p(1),2^k,a(k),,1,2,4,8,16,32,64,128,256,512,1024,2048,
,p(2),2^k-1,b(k)=b(k-1)+a(k-1),,0,1,3,7,15,31,63,127,255,511,1023,2047,
,p(3),2^k-k,a(k-1)+c(k-1)=a(k-2)+b(k-1)+c(k-2),,1,1,2,5,12,27,58,121,248,503,1014,2037,
,p(4),2^k-2-2k,2*a(k-2)+2*c(k-2)=b(k-1)+b(k-2)+c(k-3)+c(k-3),,3,2,2,4,10,24,54,116,242,496,1006,2028,
,p(5),2^k-5-k*(k-3)/2,3*b(k-2)+d(k-2)=c(k-1)+b(k-3)+d(k-3)=b(k-1)+c(k-2)+b(k-3)+d(k-3),,-4,-2,0,3,9,22,50,109,231,480,984,1999,
,p(6),2^k-3-k*(k-1)/2,B(k-2)+B(k-2)+C(k-2)+D(k-2),,-2,-1,0,2,7,19,46,104,225,473,976,1990,
,p(7),2^k-10-k^2+4k,a(k-3)+4*b(k-3)+c(k-3)+2*d(k-3),,-9,-5,-2,1,6,17,42,97,214,457,954,1961,
,p(8),2^k-2-k^2+2k,3*a(k-3)+3*c(k-3)+2*d(k-3),,-1,1,2,3,6,15,38,91,206,447,942,1947,
,p6',7a+7b+2d,,,,,,,#VALUE!,21,49,107,227,473,973,1983,
,,,,,,,,,,,,,,,,,
,p(1),aa,aaaa,aaaaaaaa,1,2,4,8,16,32,64,128,256,512,1024,2048,
,p(2),aB,aaaB,aaaaaaaB,0,1,3,7,15,31,63,127,255,511,1023,2047,
,p(3),aC,aaBc,aaaaaBBc,,1,2,5,12,27,58,121,248,503,1014,2037,
,p(4),,aacc,aaaaBBcc,,,2,4,10,24,54,116,242,496,1006,2028,
,p(5),,bbbd,aaaBBBcD,,,0,3,9,22,50,109,231,480,984,1999,
,p(6),,bbcd,aaBBBccD,,,0,2,7,19,46,104,225,473,976,1990,
,p(7),,,aBBBBcDD,,,,1,6,17,42,97,214,457,954,1961,
,p(8),,,aaacccDD,,,,3,6,15,38,91,206,447,942,1947,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,M\K,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,,,,
,,,,,1.0,2.0,4.0,8.0,16.0,32.0,64.0,128.0,256.0,,,,
,,,,,2.0,,3.0,7.0,15.0,31.0,63.0,127.0,255.0,,,,
,,,,,3.0,,,5.0,12.0,27.0,58.0,121.0,248.0,,,,
,,,,,4.0,,,4.0,10.0,24.0,54.0,116.0,242.0,,,,
,,,,,5.0,,,,9.0,22.0,50.0,109.0,231.0,,,,
,,,,,6.0,,,,7.0,19.0,46.0,104.0,225.0,,,,
,,,,,7.0,,,,,17.0,42.0,97.0,214.0,,,,
,,,,,8.0,,,,,15.0,38.0,91.0,206.0,,,,
,,,,,9.0,,,,,14.0,36.0,87.0,198.0,,,,
,,,,,10.0,,,,,12.0,33.0,82.0,182.0,,,,
,,,,,11.0,,,,,11.0,31.0,77.0,176.0,,,,
,,,,,12.0,,,,,,29.0,73.0,170.0,,,,
,,,,,13.0,,,,,,27.0,69.0,165.0,,,,
,,,,,14.0,,,,,,25.0,66.0,159.0,,,,
,,,,,15.0,,,,,,24.0,63.0,153.0,,,,
