3.0,15,1,13,27,41,55,11,,3.0,12,2,16,30,44,11,,3.0,18,9,0,9,18,27,36,6,,3.0,12,3,6,15,24,6
4.0,20,6,8,22,36,50,10,,4.0,16,2,12,26,40,10,,4.0,24,15,6,3,12,21,30,5,,4.0,16,7,2,11,20,5
5.0,25,11,3,17,31,45,9,,5.0,20,6,8,22,36,9,,5.0,30,21,12,3,6,15,24,4,,5.0,20,11,2,7,16,4
6.0,30,16,2,12,26,40,8,,6.0,24,10,4,18,32,8,,6.0,36,27,18,9,0,9,18,3,,6.0,24,15,6,3,12,3
7.0,35,21,7,7,21,35,7,,7.0,28,14,0,14,28,7,,7.0,42,33,24,15,6,3,12,2,,7.0,28,19,10,1,8,2
8.0,40,26,12,2,16,30,6,,8.0,32,18,4,10,24,6,,8.0,48,39,30,21,12,3,6,1,,8.0,32,23,14,5,4,1
9.0,45,31,17,3,11,25,5,,9.0,36,22,8,6,20,5,,9.0,54,45,36,27,18,9,0,0,,9.0,36,27,18,9,0,0
10.0,50,36,22,8,6,20,4,,10.0,40,26,12,2,16,4,,,6,5,4,3,2,1,0,,,,4,3,2,1,0,
11.0,55,41,27,13,1,15,3,,11.0,44,30,16,2,12,3,,,,,,,,,,,,,,,,,,
12.0,60,46,32,18,4,10,2,,12.0,48,34,20,6,8,2,,,,,,,,,,,,,,,,,,
13.0,65,51,37,23,9,5,1,,13.0,52,38,24,10,4,1,,,,,,,,,,,,,,,,,,
14.0,70,56,42,28,14,0,0,,14.0,56,42,28,14,0,0,,,,,,,,,,,,,,,,,,
,5,4,3,2,1,0,,,,4,3,2,1,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,1.0,2.0,3.0,4.0,5.0,,,,0.0,1.0,2.0,3.0,4.0,,,,0.0,1.0,2.0,3.0,4.0,5.0,6.0,,,,0.0,1.0,2.0,3.0,4.0,
0.0,0,14,28,42,56,70,14,,0.0,0,14,28,42,56,14,,0.0,0,9,18,27,36,45,54,9,,0.0,0,9,18,27,36,9
1.0,5,9,23,37,51,65,13,,1.0,4,10,24,38,52,13,,1.0,6,3,12,21,30,39,48,8,,1.0,4,5,14,23,32,8
2.0,10,4,18,32,46,60,12,,2.0,8,6,20,34,48,12,,2.0,12,3,6,15,24,33,42,7,,2.0,8,1,10,19,28,7
3.0,15,1,13,27,41,55,11,,3.0,12,2,16,30,44,11,,3.0,18,9,0,9,18,27,36,6,,3.0,12,3,6,15,24,6
4.0,20,6,8,22,36,50,10,,4.0,16,2,12,26,40,10,,4.0,24,15,6,3,12,21,30,5,,4.0,16,7,2,11,20,5
5.0,25,11,3,17,31,45,9,,5.0,20,6,8,22,36,9,,5.0,30,21,12,3,6,15,24,4,,5.0,20,11,2,7,16,4
6.0,30,16,2,12,26,40,8,,6.0,24,10,4,18,32,8,,6.0,36,27,18,9,0,9,18,3,,6.0,24,15,6,3,12,3
7.0,35,21,7,7,21,35,7,,7.0,28,14,0,14,28,7,,7.0,42,33,24,15,6,3,12,2,,7.0,28,19,10,1,8,2
8.0,40,26,12,2,16,30,6,,8.0,32,18,4,10,24,6,,8.0,48,39,30,21,12,3,6,1,,8.0,32,23,14,5,4,1
9.0,45,31,17,3,11,25,5,,9.0,36,22,8,6,20,5,,9.0,54,45,36,27,18,9,0,0,,9.0,36,27,18,9,0,0
10.0,50,36,22,8,6,20,4,,10.0,40,26,12,2,16,4,,,6,5,4,3,2,1,0,,,,4,3,2,1,0,
11.0,55,41,27,13,1,15,3,,11.0,44,30,16,2,12,3,,,,,,,,,,,,,,,,,,
12.0,60,46,32,18,4,10,2,,12.0,48,34,20,6,8,2,,,,,,,,,,,,,,,,,,
13.0,65,51,37,23,9,5,1,,13.0,52,38,24,10,4,1,,,,,,,,,,,,,,,,,,
14.0,70,56,42,28,14,0,0,,14.0,56,42,28,14,0,0,,,,,,,,,,,,,,,,,,
,5,4,3,2,1,0,,,,4,3,2,1,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,1.0,2.0,3.0,4.0,5.0,,,,0.0,1.0,2.0,3.0,4.0,,,,0.0,1.0,2.0,3.0,4.0,5.0,6.0,,,,0.0,1.0,2.0,3.0,4.0,
0.0,0,0,0,0,0,0,14,,0.0,0,0,0,0,0,14,,0.0,0,0,0,0,0,0,0,9,,0.0,0,0,0,0,0,9
1.0,0,4,3,2,1,0,13,,1.0,0,3,2,1,0,13,,1.0,0,5,4,3,2,1,0,8,,1.0,0,3,2,1,0,8
2.0,0,8,6,4,2,0,12,,2.0,0,6,4,2,0,12,,2.0,0,7,8,6,4,2,0,7,,2.0,0,6,4,2,0,7
3.0,0,11,9,6,3,0,11,,3.0,0,9,6,3,0,11,,3.0,0,6,12,9,6,3,0,6,,3.0,0,6,6,3,0,6
4.0,0,10,12,8,4,0,10,,4.0,0,10,8,4,0,10,,4.0,0,5,10,12,8,4,0,5,,4.0,0,5,8,4,0,5
5.0,0,9,15,10,5,0,9,,5.0,0,9,10,5,0,9,,5.0,0,4,8,12,10,5,0,4,,5.0,0,4,8,5,0,4
6.0,0,8,16,12,6,0,8,,6.0,0,8,12,6,0,8,,6.0,0,3,6,9,12,6,0,3,,6.0,0,3,6,6,0,3
7.0,0,7,14,14,7,0,7,,7.0,0,7,14,7,0,7,,7.0,0,2,4,6,8,7,0,2,,7.0,0,2,4,6,0,2
8.0,0,6,12,16,8,0,6,,8.0,0,6,12,8,0,6,,8.0,0,1,2,3,4,5,0,1,,8.0,0,1,2,3,0,1
9.0,0,5,10,15,9,0,5,,9.0,0,5,10,9,0,5,,9.0,0,0,0,0,0,0,0,0,,9.0,0,0,0,0,0,0
10.0,0,4,8,12,10,0,4,,10.0,0,4,8,10,0,4,,,6,5,4,3,2,1,0,,,,4,3,2,1,0,
11.0,0,3,6,9,11,0,3,,11.0,0,3,6,9,0,3,,,,,,,,,,,,,,,,,,
12.0,0,2,4,6,8,0,2,,12.0,0,2,4,6,0,2,,,,,,,,,,,,,,,,,,
13.0,0,1,2,3,4,0,1,,13.0,0,1,2,3,0,1,,,,,,,,,,,,,,,,,,
14.0,0,0,0,0,0,0,0,,14.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,5,4,3,2,1,0,,,,4,3,2,1,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,1.0,2.0,3.0,4.0,5.0,,,,0.0,1.0,2.0,3.0,4.0,,,,0.0,1.0,2.0,3.0,4.0,5.0,6.0,,,,0.0,1.0,2.0,3.0,4.0,
0.0,0,14,28,42,56,70,14,,0.0,0,14,28,42,56,14,,0.0,0,9,18,27,36,45,54,9,,0.0,0,9,18,27,36,9
1.0,5,17,29,41,53,65,13,,1.0,4,16,28,40,52,13,,1.0,6,13,20,27,34,41,48,8,,1.0,4,11,18,25,32,8
2.0,10,20,30,40,50,60,12,,2.0,8,18,28,38,48,12,,2.0,12,17,22,27,32,37,42,7,,2.0,8,13,18,23,28,7
