,0.0,1.0,2.0,3.0,4.0,
0.0,<openpyxl.worksheet.formula.ArrayFormula object at 0x10db06d90>,0.0,0.0,0.0,0.0,=4-A2
1.0,0.0,3.0,2.0,1.0,0.0,=4-A3
2.0,0.0,2.0,4.0,2.0,0.0,=4-A4
3.0,0.0,1.0,2.0,3.0,0.0,=4-A5
4.0,0.0,0.0,0.0,0.0,0.0,=4-A6
,=4-B1,=4-C1,=4-D1,=4-E1,=4-F1,
,,,,,,
,0.0,1.0,2.0,3.0,4.0,
0.0,<openpyxl.worksheet.formula.ArrayFormula object at 0x10dae3400>,4.0,8.0,12.0,16.0,=4-A10
1.0,4.0,6.0,8.0,10.0,12.0,=4-A11
2.0,8.0,8.0,8.0,8.0,8.0,=4-A12
3.0,12.0,10.0,8.0,6.0,4.0,=4-A13
4.0,16.0,12.0,8.0,4.0,0.0,=4-A14
,=4-B9,=4-C9,=4-D9,=4-E9,=4-F9,
