,n(k) = FLOOR(n(k-1)*SQRT(3),,,,,,,,,,,,,
,,,,,,,,1.732050808,0.5773502692,,,,,
,k,n,n*sqrt(3),,n1,n2,,,,,,,,
,,,0.6842105263,,0.5727272727,1.727272727,,,,75.0,43.30127019,43,43,44
,,,0.7076923077,,,,,,,76.0,43.87862046,43,44,44
,,,0.5846153846,,68.0952381,,,,,77.0,44.45597073,44,44,45
,,,,,,,,,,78.0,45.033321,45,45,46
,,,0.6923076923,,45.033321,,,,,79.0,45.61067127,45,46,46
,,,0.7027027027,,,,,,,80.0,46.18802154,46,46,47
,,,,,,,,,,81.0,46.7653718,46,47,47
,,,,,,,,,,82.0,47.34272207,47,47,48
,,,,,,,,,,83.0,47.92007234,47,48,48
,,,,,,,,,,84.0,48.49742261,48,48,49
,,,,,,,,,,85.0,49.07477288,49,49,50
,,,,,,,,,,86.0,49.65212315,49,50,50
,,,,,,,,,,87.0,50.22947342,50,50,51
,,,,,,,,,,88.0,50.80682369,50,51,51
,,,,,,,,,,89.0,51.38417396,51,51,52
,,,,,,,,,,90.0,51.96152423,51,52,52
,,,,,,,,,,91.0,52.5388745,52,53,53
,,,,,,,,,,92.0,53.11622477,53,53,54
,,,,,,,,,,93.0,53.69357503,53,54,54
,,,,,,,,,,94.0,54.2709253,54,54,55
,,,,,,,,,,95.0,54.84827557,54,55,55
,,,,,,,,,,96.0,55.42562584,55,55,56
,,,,,,,,,,97.0,56.00297611,56,56,57
,,,,,,,,,,98.0,56.58032638,56,57,57
,,,,,,,,,,99.0,57.15767665,57,57,58
,,,,,,,,,,100.0,57.73502692,57,58,58
,,,,,,,,,,101.0,58.31237719,58,58,59
