"result in 7 can solve Sb(51:20)[1020,71] with [29:12] => Sb(29:12)[348,41]Sb(29:8,22:12)[496,71]Sb(22:8)[176,30]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"result in 7 can solve Sb(51:20)[1020,71] with [22:8] => Sb(22:8)[176,30]Sb(22:12,29:8)[496,71]Sb(29:12)[348,41]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
result 51:20 => [22:8]; [29:12];,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,10.0
11.0,561.0,559.0,557.0,555.0,553.0,551.0,549.0,547.0,545.0,543.0,541.0,539.0,537.0,535.0,533.0,531.0,529.0,527.0,525.0,523.0,521.0,519.0,517.0,515.0,513.0,511.0,509.0,507.0,505.0,503.0,501.0,499.0,497.0,495.0,493.0,491.0,489.0,487.0,485.0,483.0,481.0,479.0,477.0,475.0,473.0,471.0,469.0,467.0,465.0,463.0,461.0,459.0,9.0
12.0,612.0,608.0,604.0,600.0,596.0,592.0,588.0,584.0,580.0,576.0,572.0,568.0,564.0,560.0,556.0,552.0,548.0,544.0,540.0,536.0,532.0,528.0,524.0,520.0,516.0,512.0,508.0,504.0,500.0,496.0,492.0,488.0,484.0,480.0,476.0,472.0,468.0,464.0,460.0,456.0,452.0,448.0,444.0,440.0,436.0,432.0,428.0,424.0,420.0,416.0,412.0,408.0,8.0
13.0,663.0,657.0,651.0,645.0,639.0,633.0,627.0,621.0,615.0,609.0,603.0,597.0,591.0,585.0,579.0,573.0,567.0,561.0,555.0,549.0,543.0,537.0,531.0,525.0,519.0,513.0,507.0,501.0,495.0,489.0,483.0,477.0,471.0,465.0,459.0,453.0,447.0,441.0,435.0,429.0,423.0,417.0,411.0,405.0,399.0,393.0,387.0,381.0,375.0,369.0,363.0,357.0,7.0
14.0,714.0,706.0,698.0,690.0,682.0,674.0,666.0,658.0,650.0,642.0,634.0,626.0,618.0,610.0,602.0,594.0,586.0,578.0,570.0,562.0,554.0,546.0,538.0,530.0,522.0,514.0,506.0,498.0,490.0,482.0,474.0,466.0,458.0,450.0,442.0,434.0,426.0,418.0,410.0,402.0,394.0,386.0,378.0,370.0,362.0,354.0,346.0,338.0,330.0,322.0,314.0,306.0,6.0
15.0,765.0,755.0,745.0,735.0,725.0,715.0,705.0,695.0,685.0,675.0,665.0,655.0,645.0,635.0,625.0,615.0,605.0,595.0,585.0,575.0,565.0,555.0,545.0,535.0,525.0,515.0,505.0,495.0,485.0,475.0,465.0,455.0,445.0,435.0,425.0,415.0,405.0,395.0,385.0,375.0,365.0,355.0,345.0,335.0,325.0,315.0,305.0,295.0,285.0,275.0,265.0,255.0,5.0
16.0,816.0,804.0,792.0,780.0,768.0,756.0,744.0,732.0,720.0,708.0,696.0,684.0,672.0,660.0,648.0,636.0,624.0,612.0,600.0,588.0,576.0,564.0,552.0,540.0,528.0,516.0,504.0,492.0,480.0,468.0,456.0,444.0,432.0,420.0,408.0,396.0,384.0,372.0,360.0,348.0,336.0,324.0,312.0,300.0,288.0,276.0,264.0,252.0,240.0,228.0,216.0,204.0,4.0
17.0,867.0,853.0,839.0,825.0,811.0,797.0,783.0,769.0,755.0,741.0,727.0,713.0,699.0,685.0,671.0,657.0,643.0,629.0,615.0,601.0,587.0,573.0,559.0,545.0,531.0,517.0,503.0,489.0,475.0,461.0,447.0,433.0,419.0,405.0,391.0,377.0,363.0,349.0,335.0,321.0,307.0,293.0,279.0,265.0,251.0,237.0,223.0,209.0,195.0,181.0,167.0,153.0,3.0
18.0,918.0,902.0,886.0,870.0,854.0,838.0,822.0,806.0,790.0,774.0,758.0,742.0,726.0,710.0,694.0,678.0,662.0,646.0,630.0,614.0,598.0,582.0,566.0,550.0,534.0,518.0,502.0,486.0,470.0,454.0,438.0,422.0,406.0,390.0,374.0,358.0,342.0,326.0,310.0,294.0,278.0,262.0,246.0,230.0,214.0,198.0,182.0,166.0,150.0,134.0,118.0,102.0,2.0
19.0,969.0,951.0,933.0,915.0,897.0,879.0,861.0,843.0,825.0,807.0,789.0,771.0,753.0,735.0,717.0,699.0,681.0,663.0,645.0,627.0,609.0,591.0,573.0,555.0,537.0,519.0,501.0,483.0,465.0,447.0,429.0,411.0,393.0,375.0,357.0,339.0,321.0,303.0,285.0,267.0,249.0,231.0,213.0,195.0,177.0,159.0,141.0,123.0,105.0,87.0,69.0,51.0,1.0
20.0,1020.0,1000.0,980.0,960.0,940.0,920.0,900.0,880.0,860.0,840.0,820.0,800.0,780.0,760.0,740.0,720.0,700.0,680.0,660.0,640.0,620.0,600.0,580.0,560.0,540.0,520.0,500.0,480.0,460.0,440.0,420.0,400.0,380.0,360.0,340.0,320.0,300.0,280.0,260.0,240.0,220.0,200.0,180.0,160.0,140.0,120.0,100.0,80.0,60.0,40.0,20.0,0.0,0.0
,51,50.0,49.0,48.0,47.0,46.0,45.0,44.0,43.0,42.0,41.0,40.0,39.0,38.0,37.0,36.0,35.0,34.0,33.0,32.0,31.0,30.0,29.0,28.0,27.0,26.0,25.0,24.0,23.0,22.0,21.0,20.0,19.0,18.0,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,
